example_id,package_commit,split,language,domain,task_type,difficulty,provenance_type,content_family_id,prompt,response,scenario_brief,content_risk_status,content_risk_severity,content_risk_rule_id,content_risk_rule_description,content_risk_field,content_risk_excerpt,reviewer_attention_required,integrity_flags,reviewer_name,reviewer_experience,review_date,accuracy_score,fluency_score,gcc_appropriateness_score,domain_terminology_score,factuality_score,verdict,corrected_wording,rejection_reason,comments
seed4b-valid-0001,266aa071e7293e7d0513d716e19b43d5a693ce5c,valid,en,islamic_finance,regulatory_explanation,advanced,SOURCE_DEPENDENT_FACTUAL,IF-BENCH-002,"How does the IFSB approach liquidity risk management for Islamic banks, and why do conventional tools require adaptation?","The IFSB has issued IFSB-12, the Guiding Principles on Liquidity Risk Management for Institutions Offering Islamic Financial Services. Conventional liquidity management tools require adaptation because Islamic banks cannot hold or issue interest-bearing instruments to manage short-term liquidity. Key adaptations include: (1) Sharia-compliant high-quality liquid assets (HQLA) such as sovereign sukuk and central bank commodity murabaha facilities replace conventional government bonds. (2) Interbank liquidity is managed through commodity murabaha or wakala structures rather than conventional overnight lending. (3) The liquidity coverage ratio (LCR) and net stable funding ratio (NSFR) are adapted to reflect the different maturity profiles of Islamic financing modes. Specific current requirements should be verified against the latest IFSB standards and applicable central bank regulations.","Task: Explain the IFSB's approach to liquidity risk management for Islamic banks. Core facts: IFSB-12 addresses liquidity risk for Islamic financial institutions. Required reasoning: Explain why conventional liquidity tools are not directly applicable. Expected knowledge: Prohibition on interest-bearing instruments, Sharia-compliant liquidity tools. Risk: Applying conventional LCR/NSFR without Islamic adjustments. Distinct from all training examples: Liquidity risk management, not covered in training.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-valid-0009,266aa071e7293e7d0513d716e19b43d5a693ce5c,valid,en,islamic_finance,executive_briefing,intermediate,SOURCE_DEPENDENT_FACTUAL,IF-BENCH-010,Provide a brief executive briefing on the global Sukuk market and its key growth drivers.,"The global Sukuk market has grown significantly over the past decade, driven by three primary factors: (1) Government financing needs: GCC and Southeast Asian governments have increasingly used Sukuk to finance budget deficits and infrastructure projects in a Sharia-compliant manner, broadening the investor base. (2) Infrastructure financing: Large-scale infrastructure projects in the GCC, Malaysia, and Turkey have used Sukuk structures to access Islamic capital markets. (3) ESG and green Sukuk: The alignment between Islamic finance principles and environmental, social, and governance (ESG) objectives has driven issuance of green and sustainability Sukuk. Accurate current issuance volumes should be verified against the latest IFSB Islamic Financial Services Industry Stability Report.","Task: Brief on the global Sukuk market and its growth drivers. Core facts: IFSB tracks global Sukuk issuance annually. Required reasoning: Identify the three main growth drivers. Expected knowledge: Government financing needs, infrastructure, ESG Sukuk. Risk: Citing specific issuance volumes that may be outdated. Distinct from IF-TRAIN-015: Sukuk market briefing, not general Islamic finance industry.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-valid-0011,266aa071e7293e7d0513d716e19b43d5a693ce5c,valid,ar,gcc_banking,document_summarization,intermediate,SOURCE_DEPENDENT_FACTUAL,GB-BENCH-002,وفق التقارير السنوية لبنك الكويت المركزي، ما المؤشرات الرئيسية لسلامة القطاع المصرفي الكويتي؟,يُصدر بنك الكويت المركزي تقارير دورية تتضمن أربع فئات رئيسية من مؤشرات السلامة المالية: أولاً: مؤشرات كفاية رأس المال — تشمل نسبة رأس المال الإجمالي إلى الأصول المرجحة بالمخاطر. ثانياً: مؤشرات جودة الأصول — تشمل نسبة القروض المتعثرة إلى إجمالي القروض ومعدلات التغطية. ثالثاً: مؤشرات السيولة — تشمل نسبة الأصول السائلة إلى إجمالي الأصول. رابعاً: مؤشرات الربحية — تشمل العائد على الأصول والعائد على حقوق الملكية. تتغير هذه المؤشرات سنوياً ويجب التحقق منها من المصدر الرسمي على موقع البنك المركزي.,"Task: Summarize the key financial stability indicators for Kuwait's banking sector. Core facts: CBK publishes annual financial stability indicators. Required reasoning: Identify the four main indicator categories. Expected knowledge: Capital adequacy, asset quality, liquidity, profitability. Risk: Citing specific figures that change annually. Distinct from GB-TRAIN-001: Stability indicators, not capital adequacy requirements.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0044,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar-en,government_regulation,arabic_english_translation,intermediate,TRANSLATION_OR_CORRESPONDENCE,GR-TRAIN-006,Translate the regulatory term 'Regulatory Sandbox' into Arabic and explain how it works in the GCC context.,"الترجمة: البيئة التنظيمية التجريبية (أو الحاضنة التنظيمية).

الشرح بالعربية: إطار تنظيمي يُتيح للشركات المبتكرة اختبار منتجاتها وخدماتها في بيئة محكومة تحت إشراف الجهة التنظيمية، مع تخفيف بعض الاشتراطات التنظيمية لفترة زمنية محددة.

English explanation: A regulatory sandbox is a framework allowing innovators to test products and services in a controlled environment under regulatory supervision, with some standard requirements relaxed for a defined period to encourage innovation. Several GCC regulators including the CBK, SAMA, and CBUAE have established sandbox programmes for fintech companies.","Task: Translate 'Regulatory Sandbox' into Arabic with a bilingual explanation. Core facts: Regulatory sandboxes are used by GCC regulators for fintech innovation. Required reasoning: Explain the controlled testing environment concept. Expected knowledge: Relaxed requirements, defined period, regulatory supervision. Risk: Translating 'sandbox' literally without the regulatory context. Distinct from TC-TRAIN-005: Government regulation context, not telecom.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0032,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,telecommunications,regulatory_explanation,intermediate,PUBLIC_RULE_SUMMARY,TC-TRAIN-001,What are the key regulatory obligations for mobile network operators in Kuwait under CITRA?,"Mobile network operators in Kuwait are regulated by the Communications and Information Technology Regulatory Authority (CITRA). Key obligations include: (1) Obtaining and maintaining valid spectrum licences for each frequency band used; (2) Meeting published Quality of Service (QoS) benchmarks for network availability, call drop rates, and data speeds; (3) Complying with lawful interception requirements to support law enforcement; (4) Adhering to number portability regulations enabling subscribers to retain their numbers when switching operators; and (5) Meeting local content and Kuwaitisation employment commitments. Specific current requirements should be verified against CITRA's published regulations.","Task: Explain the key regulatory obligations for mobile network operators in Kuwait. Core facts: CITRA regulates MNOs in Kuwait. Required reasoning: List five distinct regulatory obligations. Expected knowledge: Spectrum licences, QoS, lawful interception, number portability, Kuwaitisation. Risk: Omitting the lawful interception requirement. Distinct from others: Kuwait-specific telecom regulation.",REVIEW_REQUIRED,REVIEW_REQUIRED,GCC_TRIP_EN,English GCC trip phrase: 'specific current requirements should be verified' — advisory language that may imply the model is uncertain about current regulations. Requires human reviewer judgment on accuracy and appropriateness.,response,ation employment commitments. Specific current requirements should be verified against CITRA's published regulations.,True,REVIEW_REQUIRED_CONTENT_RISK,,,,,,,,,,,,
seed4b-train-0063,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,arabic_english_correspondence,document_summarization,basic,TRANSLATION_OR_CORRESPONDENCE,AC-TRAIN-004,لخّص العناصر الرئيسية التي يجب أن تتضمنها رسالة عمل رسمية تطلب تمديد موعد تسليم مشروع.,رسالة العمل الرسمية لطلب تمديد الموعد يجب أن تتضمن أربعة عناصر رئيسية: أولاً: الإشارة الواضحة إلى المشروع ورقم المرجع والموعد الأصلي للتسليم. ثانياً: الموعد الجديد المقترح مع الالتزام الصريح بالتسليم في هذا الموعد. ثالثاً: توضيح الأسباب الموضوعية للتأخير بصورة مختصرة وصادقة دون مبالغة. رابعاً: إرفاق خطة عمل معدّلة توضح الخطوات المتبقية والجدول الزمني المحدّث. يُستحسن تقديم الطلب مبكراً قبل الموعد الأصلي لإتاحة الوقت الكافي للمراجعة.,"Task: Summarize the key elements of a formal Arabic letter requesting a project deadline extension. Core facts: Standard request for timeline adjustment. Required reasoning: Identify the four essential elements: reference, dates, reason, plan. Expected knowledge: Formal Arabic letter structure; professional tone. Risk: Omitting the revised work plan which is essential for credibility. Distinct from AC-TRAIN-001: Deadline extension request, not meeting confirmation.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0009,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar-en,islamic_finance,arabic_english_translation,basic,TRANSLATION_OR_CORRESPONDENCE,IF-TRAIN-010,Translate the Islamic finance term 'Sukuk' into Arabic and explain the key difference from conventional bonds.,"الترجمة: صكوك.

التعريف بالعربية: الصكوك أدوات استثمارية إسلامية تمثّل حصصاً في ملكية أصول أو مشاريع حقيقية، ويحصل حاملها على عائد مرتبط بأداء هذه الأصول لا على فائدة ثابتة.

Key difference from conventional bonds: Sukuk represent ownership in underlying assets or usufruct rights, whereas conventional bonds represent debt obligations. Sukuk returns are derived from asset performance or rental income, not predetermined interest. This asset-backing requirement is the fundamental Sharia distinction.","Task: Translate 'Sukuk' and provide a bilingual definition. Core facts: Sukuk are Islamic investment certificates, not bonds. Required reasoning: Explain the asset-backing requirement that distinguishes Sukuk from bonds. Expected knowledge: Asset-backed structure, profit distribution vs interest. Risk: Describing Sukuk as simply 'Islamic bonds' without the asset-backing distinction. Distinct from IF-TRAIN-009: Different term with a structurally different definition.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0066,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,arabic_english_correspondence,refusal_missing_info,basic,SAFETY_OR_REFUSAL,AC-TRAIN-007,هل يمكنك كتابة رسالة رسمية نيابةً عني دون أن تعرف تفاصيل الموضوع أو الجهة المُرسَل إليها؟,لا يمكنني كتابة رسالة رسمية فعّالة دون معرفة التفاصيل الأساسية. أحتاج على الأقل إلى: أولاً: الغرض من الرسالة والهدف المطلوب تحقيقه. ثانياً: الجهة المُرسَل إليها ومسمى المسؤول المعني وعنوانه. ثالثاً: الموضوع الرئيسي والنقاط التي تودّ إيصالها. رابعاً: أي معلومات خلفية أو مرفقات ذات صلة تُعزز الرسالة. يُرجى تزويدي بهذه المعلومات لأتمكن من صياغة رسالة مناسبة وملائمة للسياق.,"Task: Refuse to write a formal letter without knowing the subject or recipient. Core facts: The request lacks essential information for drafting a meaningful letter. Required reasoning: Identify the four pieces of information needed. Expected knowledge: Purpose, recipient, topic, background. Risk: Writing a generic placeholder letter that is useless. Distinct from ED-TRAIN-005: Correspondence task, not investment advice.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0030,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,gcc_banking,structured_extraction,intermediate,ORIGINAL_SCENARIO,GB-TRAIN-006,"استخرج المعلومات الرئيسية من ملخص التقرير الائتماني الافتراضي التالي:
الشركة: مجموعة الخليج للصناعات (افتراضية). إجمالي الأصول: 450 مليون دولار. نسبة الدين إلى حقوق الملكية: 1.8. التصنيف الائتماني: BBB. صافي الربح: 22 مليون دولار.","| البند | القيمة |
|---|---|
| اسم الشركة | مجموعة الخليج للصناعات (افتراضية) |
| إجمالي الأصول | 450 مليون دولار |
| نسبة الدين إلى حقوق الملكية | 1.8 |
| التصنيف الائتماني | BBB |
| صافي الربح | 22 مليون دولار |

ملاحظة: الشركة افتراضية لأغراض التدريب فقط.","Task: Extract key information from a fictional credit report summary. Core facts: Fictional company with specific financial ratios and credit rating. Required reasoning: Identify and tabulate the five key credit metrics. Expected knowledge: Total assets, debt-to-equity, credit rating, net profit. Risk: Omitting the debt-to-equity ratio which is the key leverage indicator. Distinct from IF-TRAIN-024: Banking credit metrics, not Sukuk terms.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0001,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,islamic_finance,islamic_finance_terminology,basic,PUBLIC_RULE_SUMMARY,IF-TRAIN-002,ما تعريف عقد المشاركة في التمويل الإسلامي وكيف تُوزَّع الأرباح والخسائر؟,المشاركة عقد شراكة بين طرفين أو أكثر يُقدّم كل منهم رأس مال، ويُوزَّع الربح وفق نسبة متفق عليها. أما الخسارة فتُوزَّع بنسبة رأس المال المُقدَّم من كل شريك دون استثناء. يختلف هذا العقد عن المضاربة في أن جميع الشركاء يُقدّمون رأس المال، بينما في المضاربة يُقدّم رب المال رأس المال وحده ويُقدّم المضارب العمل.,"Task: Define Musharaka. Core facts: AAOIFI standard definition of partnership finance. Required reasoning: Distinguish profit-sharing ratio from loss-sharing ratio. Expected knowledge: Capital contribution, profit/loss allocation rules. Risk: Confusing Musharaka with Mudaraba. Distinct from IF-TRAIN-001: Asks about a different Islamic finance contract.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
